n (instances),Selection Sort Time (s),Merge Sort Time (s),Quick Sort Time (s),Bubble Sort Time (s),Tim Sort Time (s)
1,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0010001659393310547,0.0
55,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
91,0.0010006427764892578,0.0,0.0,0.0009996891021728516,0.0
105,0.0,0.0,0.0,0.0010726451873779297,0.0
120,0.0005168914794921875,0.0005123615264892578,0.0,0.0010247230529785156,0.0
136,0.0005116462707519531,0.0005125999450683594,0.0,0.001024484634399414,0.0
153,0.0010247230529785156,0.0005156993865966797,0.0,0.0015435218811035156,0.0
171,0.00051116943359375,0.0,0.0005161762237548828,0.0015399456024169922,0.0
190,0.0010273456573486328,0.0,0.0,0.0025718212127685547,0.0
210,0.0015368461608886719,0.0005083084106445312,0.0005176067352294922,0.0025594234466552734,0.0
231,0.002049684524536133,0.0005142688751220703,0.0,0.003097057342529297,0.0
253,0.002554655075073242,0.0005311965942382812,0.0005123615264892578,0.003505706787109375,0.0
276,0.003055572509765625,0.0,0.0009462833404541016,0.00400090217590332,0.0
300,0.003000974655151367,0.0,0.0010006427764892578,0.006140947341918945,0.0
325,0.0036029815673828125,0.0010340213775634766,0.0,0.0066683292388916016,0.0
351,0.004105806350708008,0.0005097389221191406,0.0,0.008268356323242188,0.0
378,0.004618406295776367,0.0005121231079101562,0.0005137920379638672,0.009768486022949219,0.0
406,0.005702018737792969,0.0005154609680175781,0.0005147457122802734,0.010944604873657227,0.0
435,0.006186962127685547,0.0010225772857666016,0.0005092620849609375,0.012940168380737305,0.0
465,0.007185459136962891,0.001033782958984375,0.0005102157592773438,0.014969348907470703,0.0
496,0.007869243621826172,0.0005092620849609375,0.0005142688751220703,0.017101287841796875,0.0
528,0.009871721267700195,0.0005135536193847656,0.0005140304565429688,0.019469022750854492,0.0
561,0.010637044906616211,0.0010001659393310547,0.0,0.024246931076049805,0.0
595,0.012304067611694336,0.0010242462158203125,0.0005104541778564453,0.02575063705444336,0.0
630,0.013364553451538086,0.0010297298431396484,0.0010254383087158203,0.028145551681518555,0.0
666,0.016513586044311523,0.0015366077423095703,0.0010118484497070312,0.03228306770324707,0.0
703,0.016993999481201172,0.0010004043579101562,0.0010004043579101562,0.04169607162475586,0.0
741,0.018243074417114258,0.002000093460083008,0.0010004043579101562,0.04452371597290039,0.0
780,0.02203822135925293,0.0015270709991455078,0.0010328292846679688,0.0459904670715332,0.0
820,0.022005558013916016,0.0009999275207519531,0.0010001659393310547,0.04880499839782715,0.0
861,0.025085926055908203,0.0015342235565185547,0.001032114028930664,0.05756402015686035,0.0
903,0.02689385414123535,0.0015347003936767578,0.0010218620300292969,0.06380200386047363,4.696846008300781e-05
946,0.029817581176757812,0.0020618438720703125,0.0010232925415039062,0.07116246223449707,0.0005140304565429688
990,0.03290271759033203,0.0020568370819091797,0.0010263919830322266,0.07754993438720703,0.0
1035,0.042838096618652344,0.0015377998352050781,0.0015380382537841797,0.08700442314147949,0.0
1081,0.039275407791137695,0.002053499221801758,0.0015406608581542969,0.0896909236907959,0.0
1128,0.044669151306152344,0.0025572776794433594,0.001016378402709961,0.10612630844116211,0.0
1176,0.05659985542297363,0.0025069713592529297,0.0010013580322265625,0.14175844192504883,0.0
1225,0.06140542030334473,0.0036096572875976562,0.0015420913696289062,0.1484241485595703,0.0
1275,0.06416487693786621,0.002542257308959961,0.001547098159790039,0.12716221809387207,0.0
1326,0.0594789981842041,0.0030655860900878906,0.002044677734375,0.14203524589538574,0.0
1378,0.06410384178161621,0.0030965805053710938,0.0020563602447509766,0.15610790252685547,0.0005085468292236328
1431,0.08248209953308105,0.003000974655151367,0.002000570297241211,0.18507623672485352,0.0
1485,0.07833385467529297,0.003088235855102539,0.002057313919067383,0.19219183921813965,0.0
1540,0.08098649978637695,0.003622770309448242,0.0020461082458496094,0.205003023147583,0.0
1596,0.08960533142089844,0.0036203861236572266,0.0020601749420166016,0.21954917907714844,0.0010006427764892578
1653,0.09449648857116699,0.0040018558502197266,0.0030007362365722656,0.23338031768798828,0.0
1711,0.10463833808898926,0.004098415374755859,0.0025446414947509766,0.25663113594055176,0.0
1770,0.10649323463439941,0.003992557525634766,0.003002166748046875,0.2673225402832031,0.0
1830,0.11431121826171875,0.004000663757324219,0.003000497817993164,0.27893614768981934,0.0
1891,0.12102031707763672,0.004000663757324219,0.003000020980834961,0.3006591796875,3.0994415283203125e-05
1953,0.1265702247619629,0.004072427749633789,0.0020089149475097656,0.32690882682800293,0.0005123615264892578
2016,0.1364727020263672,0.00410008430480957,0.0025606155395507812,0.3356478214263916,0.0010006427764892578
2080,0.14570927619934082,0.004091501235961914,0.0031397342681884766,0.37575364112854004,0.0
2145,0.15819859504699707,0.0050008296966552734,0.004000186920166016,0.39666032791137695,0.000507354736328125
2211,0.16310501098632812,0.0051305294036865234,0.003076314926147461,0.40326929092407227,0.0005104541778564453
2278,0.17600703239440918,0.005159616470336914,0.004108905792236328,0.44403862953186035,0.0
2346,0.18323135375976562,0.005001068115234375,0.004000663757324219,0.4650125503540039,0.0005078315734863281
2415,0.1979234218597412,0.00518798828125,0.0036246776580810547,0.4912412166595459,0.0
2485,0.20441532135009766,0.005813121795654297,0.00410008430480957,0.5171082019805908,0.0010004043579101562
2556,0.22241711616516113,0.005724191665649414,0.0036008358001708984,0.5448782444000244,0.0
2628,0.23110127449035645,0.005652904510498047,0.004635334014892578,0.6045584678649902,0.0
2701,0.24300527572631836,0.006152153015136719,0.004105091094970703,0.6329407691955566,0.0
2775,0.254131555557251,0.00616002082824707,0.004099845886230469,0.6830894947052002,0.0
2850,0.2779238224029541,0.0066335201263427734,0.005120277404785156,0.7119715213775635,0.001001119613647461
2926,0.2843005657196045,0.006001710891723633,0.005000591278076172,0.7464299201965332,0.0
